
TEMPS_NIVEAU= 180
TEMPS_MUR= 1
VITESSE_SLIM= 1 
NOMBRE_DIAMANT= 1
LONGUEURX= 71
LONGUEURY= 30

#######################################################################
#T000000000000000000PPPPPPPPPPPPPPM000000M000000000M0000000M0000000M00#
#00000001MMMMMMMMMM1PPPPPPPPPPPPPPM0000100000000000M0001000M0000000M00#
#00000P0M000000000M1PPPPPPPPPPPPPPM0000000000000100M0000000M0000000M00#
#0000000M000000000M111111111111111M0010000000000000M0000000M0000000M00#
#0000000M000000P00M0000000000000000000000M00P000000M001000000000000MPP#
#0000000M000000000D               M000000M000100000M0000000M0000000000#
#000P000M000000000#               M000000M000000000M0000000M0000000M00#
#0000000M000P00000M               M0P0100M000000000M0000P00M00000P0M00#
#0000000M000000000M               M000000M000010000M0000000M0000000M0P#
#MP000MMM000010000M               0000000M000000000M0000000M0000000M00#
#BE000MMM000000000M000000000000000M010000M000000100M0000100M0000000M00#
#MM000MMM00000P000MMMMMMMMM0MM0MMM0000000M000000P00M0P00000M0000000MP0#
#MM000MMM000000000M000000000000000M000000M000000000M0000000M0000000M00#
#MM0P0MMM000000000D000010000001000M000010M000000000M0000000M0000000M00#
#MM000MMM000000000#000000000000000M000000M00000000000000000000P0000M00#
#MM000MMM000000000M0000000000000000000000M000000000M0000000M0000000M00#
#MM000MMMMMMMMMMDMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM0P#
#M0000MMM000000000M000000000000000M000000M000000000M0000000M0000000000#
#MM000MMM000000P00M000010000000000M000000M000000000M0000000M00000000D0#
#MM000MMM000000000M000000000000000M000100M000000000M00000000P000000000#
#MM000MMM0PP000000M000000P00000000M000000M000000000M000P000M0000P00000#
#MM000000000000000M0000000000E0000M001000M000000000M0000000M0000000M00#
#0PPP0MMM0000P00000000000000000000M000000M000000000M000P000M0P00000MPP#
#P000PMMM0000000000111000000000000M000000M000000000M0000000M0000000M00#
#00000MMM0000000000000000000000000M0D0000M000000000M0000000M0000P00M00#
#00000MMM0000P0000M111000001000000M000000M000000000M0000000M0000000M00#
#00000MMM000000000M000000000000000M000000M000000000M0000000M0000000000#
#00000MMM000000000M000000000000000M000000M000000000M0000000M00000000DF#
#######################################################################



