TEMPS_NIVEAU= 150
TEMPS_MUR= 1
VITESSE_SLIM= 1 
NOMBRE_DIAMANT= 12
LONGUEURX= 40
LONGUEURY= 22


########################################
#000000000000B0000000000000000000000000#
#MMMMMMMMMMMM MMMMMMMM00000000000000000#
#M0000D0000000000000DM00000000000000000#
#M0M M0MMMMMM MMMMMM0M00000000000000000#
#M0M1M0MD000000000DM0M00000000000000000#
#M0M1M0M0MMMM MMMM0M0M00000000000000000#
#M0M1M0M0MD00000DM0M0M00000000000000000#
#M0M1M0M0M0MM MM0M0M0M00000000000000000#
#M0M1M M M M   M M M M00000000000000000#
#M0M1M1M1M1M111M1M1M1M00000000000000000#
#M0M1M M M M   M M M M00000000000000000#
#M0M1M0M0M0MMMMM0M0M0M00000000000000000#
#M0M1M0M0MD00000DM0M0M00000000000000000#
#M0MDM0M0MMMMMMMMM0M0M00000000000000000#
#M0MDM0MD000000000DM0M00000000000000000#
#M0MDM0MMMMMMMMMMMMM0M00000000000000000#
#M0MDMD0000000000000DM00000000000000000#
#MMMMMMMMMMMMMMMMMMMMM00000000000000000#
########################################
