TEMPS_NIVEAU= 180
TEMPS_MUR= 1
VITESSE_SLIM= 1 
NOMBRE_DIAMANT= 19
LONGUEURX= 40
LONGUEURY= 22


########################################
#P0 000PP00000P0P00P00000000P00000P00D0#
#00000D0P0000000 0000P0000P00P00000 00P#
#0000000PDM0P0M00 M000MP000P000 100 00 #
#DMMMMMMMMMMM0M000M00PM00000P00  000000#
#P00000000M000M0P0M D0M00000P0000000000#
#PP00P0000M000M000M00PMPP000000P00D0000#
#00P00000PMPP0M000M00PMPP000000000P000P#
#0MMMMMMMMMMM0M0P0M 0PM0P0000P0 1000D0P#
#P0P000000M000M0P0M00PM0P00D000  000P00#
#0P0000000MPP M00DM00 M000P0000000D0P00#
# 00000000MPP M00PM000M000 00P00000P000#
#0MMMMMMMMMMMMMMMPM000M000P00000000P0  #
#000P0P000M000MP00MP00M0P00P0P0 1000000#
#0000P P00M000M000MD00M00P 0000  00000D#
#0000 0P00M0D0M00PM0P0M000P0 P000000000#
#0MMMMMMMMMMM0M000M000M000P0 P000000000#
#00P000000M0P0P000MP0PM000000 00P000000#
#P0B000P0 M000M000MP0PM000000000PD00P00#
#0000P0000M0P0MD00M000M0000 000P00D0 00#
#PP0000000M0P0MD00M000M00P00D0D0P00P000#
########################################
