
TEMPS_NIVEAU= 100

TEMPS_MUR= 10
VITESSE_SLIM= 10
NOMBRE_DIAMANT= 1
LONGUEURX= 40
LONGUEURY= 22

########################################
#00000FDDT00D000000P0P000000000000P0000#
#0PBP0DD000 D   10000PD00P0000 00000 00#
#0000DEDDDDDD0 00000P0P00P00000000P0000#
#P0  0PED00000P000000P00P0000P000P00000#
#P0PP000000000PP00P00000000P000000P0P 0#
#000P00PE0000000P00000P0 P00000000P0PP0#
#M0M0M-----MMMMMMMMMMMMMMMMMMMM000P00P0#
#0 0002     00P0P0000000000D0P0000000P0#
#00D00      000 00000000P  P00D0000P000#
#000P00P0P00000000000000PP0P00P00000000#
#0 00000P00000000PP 0000000P00P0D0000 0#
#0P00 00P0  00000D0PD00D0000P000P00D0P0#
#0DP00000000000000PPD00P00000000D00000P#
#00000000MMMMMMMMMMMMMMMMMMMMMMMMMMMMMM#
#  00000000 000D0000P00000P000P00000000#
#P 000000000PP00P00000000P000000P0P 00F#
#0P00P00000000P00000P0  0000D000P0PP000#
#0000PD00 00000000D000000P0PD000000P000#
#000 00 0P000P0PP00000000P0PD000000P00P#
#0D0000P000000 00000000 0P00P0000P000P0#
########################################
